Time,Value,MEASURE,Description
2009,204311,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2010,203714,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2011,198166,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,192495,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,185603,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2009,7827,CABEE_28,Number of Businesses by Industry - Mining (no.)
2010,7861,CABEE_28,Number of Businesses by Industry - Mining (no.)
2011,8195,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,8481,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,8104,CABEE_28,Number of Businesses by Industry - Mining (no.)
2009,91804,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2010,91593,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2011,90228,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,88068,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,83640,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2009,5647,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2010,5714,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2011,5874,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,5844,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,5612,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2009,344047,CABEE_21,Number of Businesses by Industry - Construction (no.)
2010,350368,CABEE_21,Number of Businesses by Industry - Construction (no.)
2011,351893,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,347199,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,328486,CABEE_21,Number of Businesses by Industry - Construction (no.)
2009,77040,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2010,78941,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2011,79250,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,78699,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,74496,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2009,139683,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2010,143684,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2011,143681,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,141520,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,133373,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2009,77697,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2010,80135,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2011,81747,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,82654,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,80400,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2009,134069,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2010,135048,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2011,132068,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,129771,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,123426,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2009,17941,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2010,18654,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2011,18866,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,18783,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,17831,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2009,149593,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2010,160938,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2011,164440,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,166795,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,167000,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2009,218144,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2010,224501,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2011,226157,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,225014,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,219879,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2009,233548,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2010,246288,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2011,250615,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,251100,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,241816,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2009,77368,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2010,81522,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2011,82121,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,81988,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,76974,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2009,7839,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2010,7863,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2011,7808,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,7686,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,7274,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2009,24498,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2010,25804,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2011,26136,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,26369,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,25128,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2009,92582,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2010,97612,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2011,101013,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,104327,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,105659,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2009,27035,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2010,27966,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2011,27699,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,27196,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,25689,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2009,86190,CABEE_30,Number of Businesses by Industry - Other services (no.)
2010,88924,CABEE_30,Number of Businesses by Industry - Other services (no.)
2011,89497,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,89071,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,85618,CABEE_30,Number of Businesses by Industry - Other services (no.)
2009,33923,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2010,47656,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2011,47097,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,68354,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,83673,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2009,2050786,CABEE_35,Number of Businesses by Industry - Total (no.)
2010,2124786,CABEE_35,Number of Businesses by Industry - Total (no.)
2011,2132551,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,2141414,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,2079681,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,17489,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,16011,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,5558,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,5778,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,23047,BANKRUPT_4,Bankruptcies - Total (no.)
2013,21789,BANKRUPT_4,Bankruptcies - Total (no.)
2011,10658458,LF_2,Labour Force Statistics - Labour Force (no. )
2011,600135,LF_3,Labour Force Statistics - Unemployed (no. )
2011,5.6,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,61.4,LF_5,Labour Force Statistics - Participation rate (%)
2011,2.5,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.3,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,20,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,7.5,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,46.2,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.5,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,78,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,1405798,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,2220384,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,2278215,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,2352139,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,5572,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,5167,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,4779,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,4412,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,4121,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,191025,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,179242,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,167368,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,156056,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,145697,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,80521,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,77584,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,73970,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,69989,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,65730,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,186065,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,205565,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,221954,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,818850,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,827460,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,821738,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,553893,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,527480,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,549773,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,660673,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,59.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,62.7,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,61.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,66,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,333512,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,326248,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,319582,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,255411,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,297026,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,325225,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,271472,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,247656,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2010,88459,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2011,85972,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2012,83802,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2013,113840,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2009,1979424,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,1951180,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,1871472,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,1638678,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,1607054,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,1629668,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,1591927,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,1418101,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,2039880,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,2018605,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,1948650,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,1711498,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,46949,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,48907,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,51923,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,457178,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,478663,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,521273,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,9737690,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,9787143,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,10039401,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,19285,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,20023,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2011,23458,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2009,35469,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2010,37256,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2011,43696,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2009,1839101,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2010,1860729,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2011,1862767,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2009,8092,INCOME_8,Estimates of Personal Income - Average investment income ($)
2010,7760,INCOME_8,Estimates of Personal Income - Average investment income ($)
2011,8329,INCOME_8,Estimates of Personal Income - Average investment income ($)
2009,61572,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2010,59987,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2011,68709,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2009,7609353,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2010,7730019,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2011,8249671,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2009,23208,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2010,22486,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2011,23483,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2009,8811,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2010,8714,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2011,9529,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2009,379612,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2010,387481,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2011,405751,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2009,4153,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2010,2854,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2011,2408,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2009,5012,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2010,3512,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2011,3690,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2009,1206965,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2010,1231045,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2011,1533484,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2009,47188,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2010,48530,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2011,52240,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2009,568047,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2010,588145,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2011,646910,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2009,12037846,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2010,12119007,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2011,12383414,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2009,52,WAGE_2,Wage and Salary Earners - Males (%)
2010,51.8,WAGE_2,Wage and Salary Earners - Males (%)
2011,51.8,WAGE_2,Wage and Salary Earners - Males (%)
2009,48,WAGE_3,Wage and Salary Earners - Females (%)
2010,48.2,WAGE_3,Wage and Salary Earners - Females (%)
2011,48.2,WAGE_3,Wage and Salary Earners - Females (%)
2009,942312,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2010,870033,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2011,875459,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2009,1266689,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
2010,1224593,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
2011,1277605,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
2009,1187646,WAGE_8,Wage and Salary Earners - Males - Aged 35-44 years (no.)
2010,1128877,WAGE_8,Wage and Salary Earners - Males - Aged 35-44 years (no.)
2011,1149711,WAGE_8,Wage and Salary Earners - Males - Aged 35-44 years (no.)
2009,1054591,WAGE_9,Wage and Salary Earners - Males - Aged 45-54 years (no.)
2010,1010886,WAGE_9,Wage and Salary Earners - Males - Aged 45-54 years (no.)
2011,1024905,WAGE_9,Wage and Salary Earners - Males - Aged 45-54 years (no.)
2009,680541,WAGE_10,Wage and Salary Earners - Males - Aged 55-64 years (no.)
2010,672571,WAGE_10,Wage and Salary Earners - Males - Aged 55-64 years (no.)
2011,700690,WAGE_10,Wage and Salary Earners - Males - Aged 55-64 years (no.)
2009,153239,WAGE_11,Wage and Salary Earners - Males - Aged 65 years and over (no.)
2010,159850,WAGE_11,Wage and Salary Earners - Males - Aged 65 years and over (no.)
2011,174147,WAGE_11,Wage and Salary Earners - Males - Aged 65 years and over (no.)
2009,5285018,WAGE_12,Wage and Salary Earners - Males - Total (no.)
2010,5066810,WAGE_12,Wage and Salary Earners - Males - Total (no.)
2011,5202517,WAGE_12,Wage and Salary Earners - Males - Total (no.)
2009,893449,WAGE_14,Wage and Salary Earners - Females - Aged 15-24 years (no.)
2010,829093,WAGE_14,Wage and Salary Earners - Females - Aged 15-24 years (no.)
2011,832618,WAGE_14,Wage and Salary Earners - Females - Aged 15-24 years (no.)
2009,1138293,WAGE_15,Wage and Salary Earners - Females - Aged 25-34 years (no.)
2010,1110266,WAGE_15,Wage and Salary Earners - Females - Aged 25-34 years (no.)
2011,1154643,WAGE_15,Wage and Salary Earners - Females - Aged 25-34 years (no.)
2009,1096421,WAGE_16,Wage and Salary Earners - Females - Aged 35-44 years (no.)
2010,1046114,WAGE_16,Wage and Salary Earners - Females - Aged 35-44 years (no.)
2011,1059477,WAGE_16,Wage and Salary Earners - Females - Aged 35-44 years (no.)
2009,1067360,WAGE_17,Wage and Salary Earners - Females - Aged 45-54 years (no.)
2010,1031513,WAGE_17,Wage and Salary Earners - Females - Aged 45-54 years (no.)
2011,1041577,WAGE_17,Wage and Salary Earners - Females - Aged 45-54 years (no.)
2009,595688,WAGE_18,Wage and Salary Earners - Females - Aged 55-64 years (no.)
2010,605851,WAGE_18,Wage and Salary Earners - Females - Aged 55-64 years (no.)
2011,638699,WAGE_18,Wage and Salary Earners - Females - Aged 55-64 years (no.)
2009,89251,WAGE_19,Wage and Salary Earners - Females - Aged 65 years and over (no.)
2010,97668,WAGE_19,Wage and Salary Earners - Females - Aged 65 years and over (no.)
2011,109906,WAGE_19,Wage and Salary Earners - Females - Aged 65 years and over (no.)
2009,4880462,WAGE_20,Wage and Salary Earners - Females - Total (no.)
2010,4720505,WAGE_20,Wage and Salary Earners - Females - Total (no.)
2011,4836920,WAGE_20,Wage and Salary Earners - Females - Total (no.)
2009,1835761,WAGE_22,Wage and Salary Earners - Persons - Aged 15-24 years (no.)
2010,1699126,WAGE_22,Wage and Salary Earners - Persons - Aged 15-24 years (no.)
2011,1708077,WAGE_22,Wage and Salary Earners - Persons - Aged 15-24 years (no.)
2009,2404982,WAGE_23,Wage and Salary Earners - Persons - Aged 25-34 years (no.)
2010,2334859,WAGE_23,Wage and Salary Earners - Persons - Aged 25-34 years (no.)
2011,2432248,WAGE_23,Wage and Salary Earners - Persons - Aged 25-34 years (no.)
2009,2284067,WAGE_24,Wage and Salary Earners - Persons - Aged 35-44 years (no.)
2010,2174991,WAGE_24,Wage and Salary Earners - Persons - Aged 35-44 years (no.)
2011,2209188,WAGE_24,Wage and Salary Earners - Persons - Aged 35-44 years (no.)
2009,2121951,WAGE_25,Wage and Salary Earners - Persons - Aged 45-54 years (no.)
2010,2042399,WAGE_25,Wage and Salary Earners - Persons - Aged 45-54 years (no.)
2011,2066482,WAGE_25,Wage and Salary Earners - Persons - Aged 45-54 years (no.)
2009,1276229,WAGE_26,Wage and Salary Earners - Persons - Aged 55-64 years (no.)
2010,1278422,WAGE_26,Wage and Salary Earners - Persons - Aged 55-64 years (no.)
2011,1339389,WAGE_26,Wage and Salary Earners - Persons - Aged 55-64 years (no.)
2009,242490,WAGE_27,Wage and Salary Earners - Persons - Aged 65 years and over (no.)
